aX,aY,aZ,gX,gY,gZ
0.430,-0.407,0.809,-82.275,-40.283,73.975
0.487,-0.405,0.860,-103.210,-50.110,76.172
0.571,-0.409,0.911,-114.258,-59.326,81.055
0.705,-0.389,1.034,-114.929,-68.665,84.167
0.775,-0.385,1.060,-111.145,-82.764,83.862
0.763,-0.353,1.075,-119.812,-96.680,81.909
0.661,-0.349,1.071,-133.240,-105.591,74.402
0.544,-0.323,1.107,-147.339,-113.098,59.387
0.433,-0.264,1.111,-155.029,-122.803,41.138
0.370,-0.143,1.123,-159.790,-134.644,28.381
0.378,-0.009,1.128,-165.771,-147.888,26.306
0.402,0.060,1.118,-173.401,-160.950,32.715
0.422,0.081,1.161,-180.481,-171.814,43.518
0.421,0.052,1.172,-185.669,-180.542,52.856
0.416,-0.029,1.205,-195.007,-188.110,57.617
0.406,-0.066,1.276,-209.717,-194.153,55.420
0.367,-0.029,1.361,-221.863,-198.914,47.363
0.312,0.034,1.416,-226.318,-204.224,36.926
0.267,0.132,1.453,-219.604,-208.740,28.687
0.225,0.231,1.446,-204.895,-211.670,26.245
0.178,0.293,1.408,-184.082,-211.487,30.212
0.147,0.338,1.359,-157.898,-207.031,39.001
0.134,0.346,1.315,-131.104,-198.120,49.438
0.119,0.319,1.281,-109.192,-185.242,59.875
0.074,0.287,1.312,-93.933,-169.556,68.054
0.012,0.284,1.352,-84.473,-153.503,72.571
-0.036,0.305,1.352,-75.317,-138.306,73.303
-0.057,0.322,1.293,-59.509,-123.169,71.716
-0.060,0.320,1.226,-40.710,-106.689,69.275
-0.063,0.346,1.175,-27.710,-88.745,67.810
-0.062,0.363,1.131,-21.912,-70.068,67.932
-0.058,0.359,1.094,-18.005,-51.453,68.237
-0.052,0.344,1.061,-16.479,-34.790,68.176
-0.044,0.327,1.024,-17.944,-20.203,66.895
-0.032,0.333,0.984,-21.362,-8.484,64.270
-0.022,0.349,0.932,-23.804,0.610,60.669
-0.014,0.363,0.881,-24.292,6.897,55.908
0.006,0.396,0.907,-25.696,10.803,51.086
-0.005,0.522,0.769,-27.954,10.315,46.997
0.011,0.531,0.802,-25.452,10.010,46.936
0.019,0.542,0.774,-15.015,7.996,45.654
0.035,0.551,0.710,3.235,3.479,42.358
0.087,0.541,0.620,22.095,3.174,38.513
0.117,0.529,0.570,31.677,9.399,36.011
0.150,0.408,0.526,34.729,21.729,32.715
0.131,0.317,0.514,36.499,37.598,26.184
-0.004,0.380,0.534,36.865,54.993,18.311
-0.038,0.396,0.508,40.222,71.167,13.062
-0.031,0.396,0.513,39.917,86.243,9.521
-0.015,0.398,0.518,34.790,100.098,6.470
0.030,0.381,0.513,33.630,113.220,2.686
0.106,0.345,0.525,34.546,125.671,-0.977
0.182,0.314,0.572,26.794,136.353,-5.188
0.235,0.303,0.676,5.798,143.127,-10.010
0.262,0.295,0.772,-20.691,142.944,-15.076
0.279,0.304,0.845,-38.635,134.521,-21.240
0.264,0.344,0.880,-48.035,117.981,-27.222
0.249,0.432,0.865,-49.622,94.177,-31.494
0.343,0.651,0.800,-33.752,64.514,-33.447
0.331,0.740,0.771,21.912,28.076,-28.870
0.251,0.624,0.762,81.299,-7.507,-17.578
0.210,0.517,0.735,101.318,-34.241,-8.057
0.227,0.489,0.690,99.976,-51.819,-4.333
0.199,0.414,0.566,102.356,-61.951,-2.930
0.162,0.396,0.486,79.102,-67.444,0.305
0.178,0.412,0.451,42.664,-69.336,4.211
