aX,aY,aZ,gX,gY,gZ
1.030,-0.536,0.103,-6.958,-84.778,-50.049
1.028,-0.553,0.093,-5.737,-87.463,-48.767
1.023,-0.535,0.057,-6.592,-89.905,-47.546
1.009,-0.522,0.034,-7.202,-90.759,-46.082
1.005,-0.504,0.006,-6.714,-89.844,-44.434
0.999,-0.502,-0.004,-4.761,-88.318,-42.603
0.984,-0.498,-0.004,-2.502,-85.632,-40.894
0.963,-0.493,-0.010,1.648,-81.421,-39.124
0.954,-0.517,0.002,5.859,-76.355,-37.781
0.948,-0.536,0.013,9.277,-70.801,-36.865
0.946,-0.573,0.047,13.428,-64.880,-36.682
0.943,-0.607,0.103,15.869,-59.143,-37.170
0.935,-0.642,0.161,16.541,-54.260,-37.903
0.941,-0.692,0.226,15.381,-50.659,-38.513
0.944,-0.743,0.275,11.108,-49.255,-39.124
0.941,-0.789,0.315,3.906,-50.110,-40.649
0.938,-0.803,0.306,-4.150,-52.917,-43.030
0.916,-0.726,0.178,-10.132,-54.626,-45.471
0.896,-0.785,0.198,-16.479,-53.101,-45.837
0.912,-0.821,0.217,-22.034,-52.063,-47.546
0.909,-0.810,0.248,-23.926,-52.795,-51.514
0.895,-0.799,0.275,-20.508,-54.138,-56.030
0.880,-0.770,0.285,-13.672,-56.213,-60.486
0.889,-0.806,0.338,-6.226,-58.838,-64.880
0.887,-0.765,0.380,-0.061,-62.744,-69.519
0.879,-0.721,0.399,6.958,-67.627,-72.571
0.863,-0.688,0.388,11.841,-73.547,-73.486
"",,,,,
1.089,-2.020,0.703,-132.019,96.130,393.188
1.064,-1.924,0.066,-87.280,80.627,377.563
1.066,-2.080,-0.201,-43.945,83.008,365.845
1.174,-1.960,-0.412,-37.659,100.098,353.149
1.315,-1.787,-0.153,-61.523,132.446,345.337
1.290,-1.802,0.167,-75.134,166.016,344.299
1.463,-2.276,0.467,-79.590,195.068,349.182
1.506,-2.972,0.750,-101.440,220.398,346.802
1.422,-3.463,0.939,-146.545,242.371,321.716
1.399,-3.191,0.996,-211.487,263.000,271.301
1.349,-2.607,0.891,-269.043,281.189,209.778
1.328,-2.010,0.600,-305.176,296.448,154.297
